iShares MSCI Taiwan ETF
Fund Holdings as of,"Aug 06, 2026"
Inception Date,"Jun 20, 2000"
Shares Outstanding,"107,500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","2,303,294,589.80","21.02","2,303,294,589.80","31,393,467.00","73.37","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","Nov 10, 1994"
"2454","MEDIATEK","Information Technology","Equity","691,245,901.13","6.31","691,245,901.13","5,684,175.00","121.61","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","Jul 23, 2001"
"2308","DELTA ELECTRONICS","Information Technology","Equity","414,869,236.38","3.79","414,869,236.38","7,960,180.00","52.12","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"2317","HON HAI PRECISION INDUSTRY","Information Technology","Equity","405,567,180.88","3.70","405,567,180.88","49,426,296.00","8.21","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","Sep 26, 1991"
"3711","ASE TECHNOLOGY HOLDING","Information Technology","Equity","305,458,966.01","2.79","305,458,966.01","16,548,432.00","18.46","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"2383","ELITE MATERIAL","Information Technology","Equity","265,295,258.19","2.42","265,295,258.19","1,612,000.00","164.58","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"3037","UNIMICRON TECHNOLOGY","Information Technology","Equity","244,970,306.38","2.24","244,970,306.38","8,115,617.00","30.19","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"2345","ACCTON TECHNOLOGY","Information Technology","Equity","218,985,558.95","2.00","218,985,558.95","2,929,000.00","74.76","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"2303","UNITED MICRO ELECTRONICS CORP","Information Technology","Equity","208,867,529.25","1.91","208,867,529.25","55,413,501.00","3.77","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"3017","ASIA VITAL COMPONENTS","Information Technology","Equity","187,338,410.71","1.71","187,338,410.71","2,054,000.00","91.21","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"1303","NAN YA PLASTICS CORP","Materials","Equity","187,235,134.19","1.71","187,235,134.19","33,811,938.00","5.54","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"2327","YAGEO","Information Technology","Equity","180,840,295.96","1.65","180,840,295.96","10,226,836.00","17.68","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"2891","CTBC FINANCIAL HOLDING","Financials","Equity","167,406,126.82","1.53","167,406,126.82","83,533,325.00","2.00","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"2881","FUBON FINANCIAL HOLDING","Financials","Equity","166,640,053.17","1.52","166,640,053.17","42,631,419.00","3.91","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"6669","WIWYNN CORPORATION","Information Technology","Equity","158,400,936.88","1.45","158,400,936.88","815,000.00","194.36","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"2887","TS FINANCIAL HOLDING","Financials","Equity","153,488,163.04","1.40","153,488,163.04","143,409,107.00","1.07","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"2059","KING SLIDE WORKS","Information Technology","Equity","151,651,181.19","1.38","151,651,181.19","484,000.00","313.33","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"2882","CATHAY FINANCIAL HOLDING","Financials","Equity","135,981,256.26","1.24","135,981,256.26","44,956,798.00","3.02","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"2885","YUANTA FINANCIAL HOLDING","Financials","Equity","129,628,423.89","1.18","129,628,423.89","62,272,838.00","2.08","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"2360","CHROMA ATE INC","Information Technology","Equity","129,585,537.23","1.18","129,585,537.23","2,115,000.00","61.27","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"2382","QUANTA COMPUTER","Information Technology","Equity","125,619,708.08","1.15","125,619,708.08","13,408,240.00","9.37","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"5274","ASPEED TECHNOLOGY","Information Technology","Equity","125,230,731.05","1.14","125,230,731.05","241,000.00","519.63","Taiwan","Gretai Securities Market","USD","32.23","TWD","-"
"3481","INNOLUX CORP","Information Technology","Equity","119,066,987.23","1.09","119,066,987.23","76,761,296.00","1.55","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"4958","ZHEN DING TECHNOLOGY HOLDING LTD","Information Technology","Equity","112,551,728.86","1.03","112,551,728.86","7,527,072.00","14.95","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"6446","PHARMAESSENTIA","Health Care","Equity","105,134,969.99","0.96","105,134,969.99","2,627,111.00","40.02","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"3443","GLOBAL UNICHIP","Information Technology","Equity","104,653,089.08","0.96","104,653,089.08","753,000.00","138.98","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"2357","ASUSTEK COMPUTER INC","Information Technology","Equity","103,228,125.95","0.94","103,228,125.95","4,067,857.00","25.38","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"3231","WISTRON","Information Technology","Equity","103,025,872.90","0.94","103,025,872.90","17,525,000.00","5.88","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"3008","LARGAN PRECISION LTD","Information Technology","Equity","102,415,028.93","0.93","102,415,028.93","713,794.00","143.48","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"2301","LITE ON TECHNOLOGY","Information Technology","Equity","98,746,154.82","0.90","98,746,154.82","12,606,071.00","7.83","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"2886","MEGA FINANCIAL HOLDING LTD","Financials","Equity","97,540,440.80","0.89","97,540,440.80","62,508,297.00","1.56","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"2890","SINOPAC FINANCIAL HOLDINGS","Financials","Equity","97,514,079.63","0.89","97,514,079.63","81,222,677.00","1.20","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"7769","HONPRECISION INC","Information Technology","Equity","93,606,229.35","0.85","93,606,229.35","466,000.00","200.87","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"2883","KGI FINANCIAL HOLDING","Financials","Equity","93,357,752.59","0.85","93,357,752.59","98,344,460.00","0.95","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"3653","JENTECH PRECISION INDUSTRIAL LTD","Information Technology","Equity","92,356,016.07","0.84","92,356,016.07","669,000.00","138.05","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"2884","E.SUN FINANCIAL HOLDING","Financials","Equity","91,746,604.71","0.84","91,746,604.71","77,929,010.00","1.18","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"3665","BIZLINK HOLDING INC","Industrials","Equity","90,140,067.32","0.82","90,140,067.32","1,226,000.00","73.52","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"6223","MPI CORP","Information Technology","Equity","89,512,789.09","0.82","89,512,789.09","458,000.00","195.44","Taiwan","Gretai Securities Market","USD","32.23","TWD","-"
"2395","ADVANTECH","Information Technology","Equity","87,064,389.46","0.79","87,064,389.46","4,512,021.00","19.30","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"2880","HUA NAN FINANCIAL HOLDINGS","Financials","Equity","83,365,858.65","0.76","83,365,858.65","61,004,694.00","1.37","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"2412","CHUNGHWA TELECOM LTD","Communication","Equity","83,041,299.73","0.76","83,041,299.73","19,538,648.00","4.25","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"2379","REALTEK SEMICONDUCTOR","Information Technology","Equity","80,045,878.55","0.73","80,045,878.55","3,468,063.00","23.08","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"2892","FIRST FINANCIAL HOLDING LTD","Financials","Equity","78,610,966.74","0.72","78,610,966.74","71,379,865.00","1.10","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"6488","GLOBALWAFERS LTD","Information Technology","Equity","78,314,849.00","0.71","78,314,849.00","2,895,000.00","27.05","Taiwan","Gretai Securities Market","USD","32.23","TWD","-"
"3034","NOVATEK MICROELECTRONICS","Information Technology","Equity","71,820,701.17","0.66","71,820,701.17","4,263,544.00","16.85","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"2368","GOLD CIRCUIT ELECTRONICS","Information Technology","Equity","70,342,955.53","0.64","70,342,955.53","2,302,000.00","30.56","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"TWD","TWD CASH","Cash and/or Derivatives","Cash","69,099,618.72","0.63","69,099,618.72","2,227,391,660.00","3.10","Taiwan","-","USD","32.23","TWD","-"
"1216","UNI-PRESIDENT ENTERPRISES","Consumer Staples","Equity","66,456,709.33","0.61","66,456,709.33","29,345,189.00","2.26","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"5880","TAIWAN COOPERATIVE FINANCIAL HOLDI","Financials","Equity","65,119,453.44","0.59","65,119,453.44","80,425,020.00","0.81","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"2376","GIGABYTE TECHNOLOGY LTD","Information Technology","Equity","60,701,174.21","0.55","60,701,174.21","5,688,000.00","10.67","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"1326","FORMOSA CHEMICALS & FIBRE CORP","Materials","Equity","60,546,077.68","0.55","60,546,077.68","33,591,610.00","1.80","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"1301","FORMOSA PLASTICS CORP","Materials","Equity","59,017,857.94","0.54","59,017,857.94","34,526,518.00","1.71","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"3661","ALCHIP TECHNOLOGIES LTD","Information Technology","Equity","58,619,837.13","0.54","58,619,837.13","516,279.00","113.54","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"2356","INVENTEC","Information Technology","Equity","58,415,218.29","0.53","58,415,218.29","28,747,868.00","2.03","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"1590","AIRTAC INTERNATIONAL GROUP","Industrials","Equity","58,356,374.69","0.53","58,356,374.69","1,205,826.00","48.40","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"2449","KING YUAN ELECTRONICS","Information Technology","Equity","57,584,895.07","0.53","57,584,895.07","7,454,700.00","7.72","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"5347","VANGUARD INTERNATIONAL SEMICONDUCT","Information Technology","Equity","56,519,231.21","0.52","56,519,231.21","12,025,539.00","4.70","Taiwan","Gretai Securities Market","USD","32.23","TWD","-"
"2002","CHINA STEEL CORP","Materials","Equity","55,582,111.19","0.51","55,582,111.19","94,297,977.00","0.59","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"2603","EVERGREEN MARINE CORP (TAIWAN) LTD","Industrials","Equity","54,964,173.54","0.50","54,964,173.54","8,685,013.00","6.33","Taiwan","Taiwan Stock Exchange","USD","32.23","TWD","-"
"3529","EMEMORY TECHNOLOGY INC","Information Technology","Equity","54,545,905.78","0.50","54,545,905.78","661,000.00","82.52","Taiwan","Gretai Securities Market","USD","32.23","TWD","-"
