review,review_type,year,month,market,action,security,eff_date_est,code,ticker
Feb06,QIR,2006,2,Australia,ADD,MACQUARIE OFFICE TRUST,2006-02-28,,
Feb06,QIR,2006,2,China,ADD,AGILE PROPERTY HLDGS,2006-02-28,,
Feb06,QIR,2006,2,China,ADD,DONGFENG MOTOR GROUP H,2006-02-28,,
Feb06,QIR,2006,2,Japan,ADD,SUMCO,2006-02-28,,3436.T
May06,SAIR,2006,5,Australia,ADD,ABC LEARNING CENTRES,2006-05-31,,
May06,SAIR,2006,5,Australia,ADD,GOODMAN FIELDER,2006-05-31,,
May06,SAIR,2006,5,Australia,ADD,PALADIN RESOURCES (AU),2006-05-31,,
May06,SAIR,2006,5,Australia,ADD,WORLEYPARSONS,2006-05-31,,
May06,SAIR,2006,5,Australia,ADD,ZINIFEX,2006-05-31,,
May06,SAIR,2006,5,China,ADD,FU JI FOOD & CATERING,2006-05-31,,
May06,SAIR,2006,5,China,ADD,GUANGZHOU R&F PROP H,2006-05-31,,2777.HK
May06,SAIR,2006,5,China,ADD,HOPSON DEVELOPMENT HDGS,2006-05-31,,
May06,SAIR,2006,5,China,ADD,HUNAN NONFERROUS METAL H,2006-05-31,,
May06,SAIR,2006,5,China,ADD,SINOCHEM HONG KONG,2006-05-31,,
May06,SAIR,2006,5,China,ADD,XINAO GAS HOLDINGS,2006-05-31,,
May06,SAIR,2006,5,China,DEL,AVICHINA IND & TECH H,2006-05-31,,2357.HK
May06,SAIR,2006,5,China,DEL,CHINA PHARMACEUTICAL GRP,2006-05-31,,
May06,SAIR,2006,5,China,DEL,DIGITAL CHINA HOLDINGS,2006-05-31,,0861.HK
May06,SAIR,2006,5,China,DEL,QINGLING MOTORS CO H,2006-05-31,,1122.HK
May06,SAIR,2006,5,HongKong,ADD,FOXCONN INTERNATIONAL,2006-05-31,,
May06,SAIR,2006,5,HongKong,ADD,MELCO INT'L DEVELOP,2006-05-31,,
May06,SAIR,2006,5,HongKong,ADD,SHUN TAK HOLDINGS,2006-05-31,,0242.HK
May06,SAIR,2006,5,HongKong,DEL,SCMP GRP,2006-05-31,,
May06,SAIR,2006,5,HongKong,DEL,SMARTONE TELECOM. HLDGS,2006-05-31,,
May06,SAIR,2006,5,India,ADD,BAJAJ HINDUSTHAN,2006-05-31,,BAJAJHIND.BO
May06,SAIR,2006,5,India,ADD,INDIABULLS FINL SERVICE,2006-05-31,,
May06,SAIR,2006,5,India,ADD,JAIPRAKASH ASSOCIATES,2006-05-31,,
May06,SAIR,2006,5,India,ADD,RELIANCE CAPITAL,2006-05-31,,
May06,SAIR,2006,5,India,ADD,SIEMENS INDIA,2006-05-31,,ENRIN
May06,SAIR,2006,5,India,DEL,CASTROL INDIA,2006-05-31,,CASTROLIND.NS
