market,security,last_add,ticker,touches_defective_cell
Australia,AFTERPAY,May20,,False
Australia,ALUMINA,May20,,False
Australia,ARROW ENERGY,May09,,False
Australia,CAMPBELL BROTHERS,Nov11,,False
Australia,CARSALES.COM.AU,Nov23,,False
Australia,CENTRO RETAIL AUSTRALIA,May12,,False
Australia,DUET GROUP,Nov15,,False
Australia,ENERGY RESOURCES OF AUST                  MACQUARIE OFFIC,May09,,False
Australia,FLIGHT CENTRE,Nov12,FLT.AX,False
Australia,FORTESCUE METALS GROUP,May07,,False
Australia,MACARTHUR COAL,May10,,False
Australia,MACQUARIE OFFICE TRUST,Feb06,,False
Australia,OIL SEARCH,Nov15,,False
Australia,OXIANA,Nov07,,False
Australia,PALADIN RESOURCES (AU),May06,,False
Australia,PATTINSON (WASHINGTON),Nov18,,False
Australia,PLATINUM ASSET MGT,Feb15,,False
Australia,QUEENSLAND GAS COMPANY,Nov08,,False
Australia,SEVEN GROUP HOLDINGS,Feb24,,False
Australia,SIMS GROUP,Feb08,,False
Australia,SP AUSNET,Feb09,,False
Australia,ST GEORGE BANK,Nov07,,False
Australia,ZINIFEX,May06,,False
China,21VIANET GROUP A ADR,Feb21,,False
China,360 DIGITECH ADR A,May21,,False
China,51JOB ADR,May18,,False
China,58.COM ADR,Nov15,,False
China,A-LIVING SERVICES CO H,Nov19,,False
China,AAC TECHNOLOGIES HLDG CN,Nov13,,False
China,AEROSPACE TIMES A (HK-C),Nov19,600879.SS,False
China,AGRI BANK OF CN A (HK-C),May18,,False
China,AISINO CO A (HK-C),May18,600271.SS,False
China,ARTGO HOLDINGS,Nov19,3313.HK,False
China,AUTEK CHINA A (HK-C),Nov19,300595.SZ,False
China,AVIC AIRCRAFT A (HK-C),May18,,False
China,AVIC AVIATION HI A(HK-C),Feb21,600862.SS,False
China,AVIC CAPITAL CO A (HK-C),May18,,False
China,AVIC ELECMECH A (HK-C),Nov19,,False
China,AVIC JONHON OPTR A(HK-C),Nov19,,False
China,AVIC SHENYANG A (HK-C),Aug18,600760.SS,False
China,BAIDU ADR,Nov15,,False
China,BANK OF CHINA A (HK-C),May18,,False
China,BANK OF GUIYANG A (HK-C),May18,601997.SS,False
China,BEIGENE ADR (CN),Nov20,,False
China,BEIJING CAPITAL A (HK-C),May18,600008.SS,False
China,BEIJING KUNLUN A (HK-C),May20,,False
China,BEIJING NEW BLDG A(HK-C),Nov19,,False
China,BEIJING ORIENT A (HK-C),May18,002271.SZ,False
China,BELLE INT'L HLDGS(CN),May08,,False
China,BILIBILI ADR Z,May20,,False
China,BLUEFOCUS INTG A (HK-C),Feb26,,False
China,BOC INTL A (HK-C),May21,,False
China,BOSIDENG INTL HLDGS,Aug19,,False
China,BRILLIANCE CHINA AUTO,Nov23,1114.HK,False
China,BYD CO A (HK-C),May18,,False
China,BYD ELECTRONIC INTL,Nov17,,False
China,CHANGSHA ZOOMLION H,Feb11,,False
China,CHINA AGRI HOLDINGS,May18,,False
China,CHINA AVIONICS A (HK-C),May18,,False
China,CHINA CITIC BK A (HK-C),Aug25,,False
China,CHINA CNR CORP H,Nov14,,False
China,CHINA COMMU CON A (HK-C),May18,,False
China,CHINA CONST BK A (HK-C),May18,,False
China,CHINA CSSC HLDG A (HK-C),May21,,False
China,CHINA ENER ENGR A (HK-C),Feb22,,False
China,CHINA EVERBRIGHT INT'L,May13,,False
China,CHINA GEZHOUBA A (HK-C),May18,,False
China,CHINA GOLD INTL RES (CN),Nov25,,False
China,CHINA GRAND AUTO A(HK-C),May18,,False
China,CHINA HAINAN RUB A(HK-C),May18,601118.SS,False
China,CHINA HUARONG AST MGMT H,Nov16,,False
China,CHINA INSURANCE INT' L,Nov07,,False
China,CHINA INTL CPTL A (HK-C),Feb21,,False
China,CHINA INTL CPTL CORP H,May18,,False
China,CHINA INTL TRVL A (HK-C),May18,,False
China,CHINA INV FUND INTL (CN),Nov18,,False
China,CHINA LIFE INS A (HK-C),May18,,False
China,CHINA LODGING GRP ADR,May18,,False
China,CHINA MERCH BK A (HK-C),May18,,False
China,CHINA MINMETALS A (HK-C),Nov21,,False
China,CHINA NAT BUILDING MAT H,Nov07,,False
China,CHINA NAT'L A (HK-C),Nov22,,False
China,CHINA NATL CHEM A (HK-C),May18,,False
China,CHINA NATL NUCL A (HK-C),May18,,False
China,CHINA NATNL MATERIAL   H,Nov10,,False
China,CHINA NETCOM GROUP,Nov07,,False
China,CHINA OILFIELD SVCS H,Nov07,,False
China,CHINA POWER INTL,May18,,False
China,CHINA RAIL CONST A(HK-C),May18,,False
China,CHINA RAIL GRP A (HK-C),Aug19,,False
China,CHINA RAIL HI TE A(HK-C),Nov19,600528.SS,False
China,CHINA REFORM A (HK-C),Nov19,,False
China,CHINA SHINEWAY PHARM GRP,May10,,False
China,CHINA SHIPB IND A (HK-C),Nov18,600482.SS,False
China,CHINA SHIPBLDG A (HK-C),May18,,False
China,CHINA SPACESAT A (HK-C),May18,600118.SS,False
China,CHINA STH AIRL A (HK-C),May18,,False
China,CHINA UNICOM,Nov07,,False
China,CHINA UTD NETWK A (HK-C),Aug21,,False
China,CHINA VANKE CO A (HK-C),May18,,False
China,CHINA VANKE CO B,Nov07,,False
China,CHINA ZHENGTONG AUTO SER              CHINA,Nov11,,False
China,CHONGQING CHANG A (HK-C),May18,001296.SZ,False
China,CHOW TAI FOOK (CN),Nov22,,False
China,CNPC HONG KONG,Nov07,,False
China,COSCO SHIP HLDG A (HK-C),May18,,False
China,COSCO SHIPPING ENERGY H,May26,,False
China,COSCO SHIPPING HLDGS H,May18,,False
China,CSC FINANCIAL A (HK-C),Nov19,,False
China,CTRIP COM INTL ADR,Nov15,,False
China,DA AN GENE CO A (HK-C),May20,,False
