market,security,last_add,ticker,touches_defective_cell,bucket,note
Australia,AFTERPAY,May20,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Australia,ALUMINA,May20,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Australia,ARROW ENERGY,May09,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Australia,CAMPBELL BROTHERS,Nov11,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Australia,CARSALES.COM.AU,Nov23,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Australia,CENTRO RETAIL AUSTRALIA,May12,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Australia,DUET GROUP,Nov15,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Australia,ENERGY RESOURCES OF AUST                  MACQUARIE OFFIC,May09,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Australia,FLIGHT CENTRE,Nov12,FLT.AX,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
Australia,FORTESCUE METALS GROUP,May07,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Australia,MACARTHUR COAL,May10,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Australia,MACQUARIE OFFICE TRUST,Feb06,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Australia,OIL SEARCH,Nov15,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Australia,OXIANA,Nov07,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Australia,PALADIN RESOURCES (AU),May06,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Australia,PATTINSON (WASHINGTON),Nov18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Australia,PLATINUM ASSET MGT,Feb15,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Australia,QUEENSLAND GAS COMPANY,Nov08,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Australia,SEVEN GROUP HOLDINGS,Feb24,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Australia,SIMS GROUP,Feb08,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Australia,SP AUSNET,Feb09,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Australia,ST GEORGE BANK,Nov07,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
Australia,ZINIFEX,May06,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,21VIANET GROUP A ADR,Feb21,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,360 DIGITECH ADR A,May21,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
