code,name,weight_plain_pct,fif_weights,in_ewt,cap_cohort,fif_ewt,diff_pp
2330,TAIWAN SEMICONDUCTOR MFG,54.780022,0.952,True,True,0.16,-79.2
2454,MEDIATEK INC,6.208293,0.902,True,True,0.469,-43.3
2308,DELTA ELECTRONICS,4.451458,0.752,True,False,0.405,-34.7
2317,HON HAI PRECISION IND CO,3.386069,0.873,True,False,0.466,-40.7
3711,ASE TECHNOLOGY HOLDING,1.892643,0.748,True,False,0.49,-25.8
2303,UNITED MICROELECTRONICS,1.560587,0.902,True,False,0.583,-31.9
2383,ELITE MATERIAL CO,1.37225,0.802,True,False,0.595,-20.7
3037,UNIMICRON TECHNOLOGY,1.327694,0.845,True,False,0.654,-19.1
2345,ACCTON TECHNOLOGY CORP,1.196832,0.902,True,False,0.691,-21.1
2327,YAGEO CORP,1.159694,0.752,True,False,0.653,-9.9
2891,CTBC FINANCIAL HOLDING,0.980732,0.852,True,False,0.562,-29.0
2382,QUANTA COMPUTER,0.950977,0.702,True,False,0.459,-24.3
2360,CHROMA ATE,0.880525,0.852,True,False,0.658,-19.4
2881,FUBON FINANCIAL HOLDING,0.876865,0.601,True,False,0.403,-19.8
3017,ASIA VITAL COMPONENTS,0.850797,0.826,True,False,0.692,-13.4
2882,CATHAY FINANCIAL HOLDING,0.794057,0.652,True,False,0.405,-24.7
2885,YUANTA FINANCIAL HOLDING,0.596132,0.802,True,False,0.618,-18.4
7769,HONPRECISION ,0.574524,0.451,True,False,0.343,-10.8
6669,WIWYNN CORPORATION,0.532246,0.551,True,False,0.58,2.9
2357,ASUSTEK COMPUTER,0.528299,0.902,True,False,0.725,-17.7
5274,ASPEED TECHNOLOGY,0.528259,0.802,True,False,0.767,-3.5
2412,CHUNGHWA TELECOM CO,0.504259,0.491,True,False,0.333,-15.8
3231,WISTRON CORP,0.496386,0.952,True,False,0.729,-22.3
2887,TS FINANCIAL HOLDING CO,0.490942,0.852,True,False,0.763,-8.9
1303,NAN YA PLASTIC,0.482993,0.601,True,False,0.564,-3.7
6223,MPI CORP,0.459793,0.877,True,False,0.618,-25.9
2886,MEGA FINANCIAL HOLDING,0.449914,0.777,True,False,0.558,-21.9
2301,LITE-ON TECHNOLOGY CORP,0.436022,0.852,True,False,0.72,-13.2
2884,E.SUN FINANCIAL HOLDINGS,0.420251,0.877,True,False,0.637,-24.0
2368,GOLD CIRCUIT ELECTRONICS,0.415158,0.643,True,False,0.589,-5.4
3481,INNOLUX CORP,0.391445,0.927,True,False,1.271,34.4
4958,ZHEN DING TECHNOLOGY,0.387764,0.702,True,False,0.93,22.8
3443,GLOBAL UNICHIP CORP,0.382859,0.652,True,False,0.743,9.1
3661,ALCHIP TECHNOLOGIES,0.35507,0.946,True,False,0.792,-15.4
3665,BIZLINK HOLDING,0.351439,0.902,True,False,0.831,-7.1
2890,SINOPAC HOLDINGS,0.34375,0.826,True,False,0.741,-8.5
3008,LARGAN PRECISION CO,0.338302,0.716,True,False,0.722,0.6
1216,UNI-PRESIDENT ENT.,0.336087,0.852,True,False,0.683,-16.9
2449,KING YUAN ELECTRONICS CO,0.330422,0.902,True,False,0.807,-9.5
2883,KGI FINANCIAL HOLDING CO,0.326723,0.902,True,False,0.701,-20.1
3653,JENTECH PRECISION INDL,0.319207,0.601,True,False,0.603,0.2
2892,FIRST FINANCIAL HLDG CO,0.291992,0.777,True,False,0.657,-12.0
2379,REALTEK SEMICONDUCTOR,0.281607,0.952,True,False,0.89,-6.2
2059,KING SLIDE WORKS CO,0.281545,0.601,True,False,0.672,7.1
2880,HUA NAN FINANCIAL HLDGS,0.28058,0.652,True,False,0.58,-7.2
3034,NOVATEK MICROELECTRS,0.263872,0.927,True,False,0.927,0.0
6446,PHARMAESSENTIA,0.258809,0.752,True,False,0.823,7.1
5880,TAIWAN COPR FINL HLDG,0.23682,0.702,True,False,0.679,-2.3
6488,GLOBALWAFERS,0.235874,0.551,True,False,0.801,25.0
2395,ADVANTECH CO,0.23246,0.55,True,False,0.688,13.8
2603,EVERGREEN MARINE CORP,0.228954,0.501,True,False,0.531,3.0
3533,LOTES CO,0.213174,0.752,True,False,0.975,22.3
2002,CHINA STEEL CORP COMMON,0.212824,0.752,True,False,0.793,4.1
5347,VANGUARD INTL SC,0.205147,0.652,True,False,0.846,19.4
3529,EMEMORY TECHNOLOGY,0.196606,0.852,True,False,1.171,31.9
2376,GIGABYTE TECHNOLOGY CO,0.195824,0.802,True,False,1.123,32.1
3045,TAIWAN MOBILE,0.186757,0.467,True,False,0.511,4.4
2356,INVENTEC CO,0.183049,0.702,True,False,1.06,35.8
1301,FORMOSA PLASTIC CORP,0.180316,0.601,True,False,0.718,11.7
1590,AIRTAC INTERNATIONAL,0.178453,0.702,True,False,0.798,9.6
4938,PEGATRON,0.173223,0.752,True,False,0.974,22.2
8069,E INK HOLDINGS,0.17137,0.7,True,False,0.866,16.6
1326,FORMOSA CHEMICALS FIBRE,0.171198,0.576,True,False,0.758,18.2
3293,INTL GAMES SYSTEM C,0.16369,0.802,True,False,0.999,19.7
4904,FAR EASTONE TELECOM. CO,0.162042,0.491,True,False,0.591,10.0
5871,CHAILEASE HOLDING,0.153411,0.877,True,False,1.112,23.5
1101,TAIWAN CEMENT CORP,0.14823,0.852,True,False,1.103,25.1
5876,SHANGHAI COMM & SAV BANK,0.141588,0.777,True,False,1.027,25.0
2801,CHANG HWA COMMERCIAL BK,0.136313,0.601,True,False,0.834,23.3
2207,HOTAI MOTOR COMPANY,0.124534,0.501,True,False,0.728,22.7
1519,FORTUNE ELECTRIC CO,0.116766,0.451,True,False,0.812,36.1
2912,PRESIDENT CHAIN STORE,0.111658,0.501,True,False,0.787,28.6
2834,TAIWAN BUSINESS BANK,0.104053,0.702,True,False,1.246,54.4
2618,EVA AIRWAYS CORP,0.096118,0.501,True,False,0.865,36.4
2609,YANG MING MARINE TRANSP,0.090509,0.501,True,False,0.862,36.1
6919,CALIWAY BIOPHARMA,0.086987,0.601,True,False,1.036,43.5
2615,WAN HAI LINES,0.055906,0.251,True,False,0.432,18.1
