code,name,factsheet_float_busd_jul31,full_cap_busd_jul31,fif_implied_jul31,fif_weights_inv_jun01,diff_pp
2330,TAIWAN SEMICONDUCTOR MFG,1848.51,1941.2254,0.952,0.952,0.02
2454,MEDIATEK INC,158.78,176.0101,0.902,0.902,0.01
2308,DELTA ELECTRONICS,98.86,131.5009,0.752,0.752,-0.02
2317,HON HAI PRECISION IND CO,94.71,108.479,0.873,0.873,0.01
3711,ASE TECHNOLOGY HOLDING,57.28,76.5911,0.748,0.748,-0.01
2303,UNITED MICROELECTRONICS,42.38,46.9769,0.902,0.902,0.01
2383,ELITE MATERIAL CO,42.09,52.4844,0.802,0.802,-0.0
2881,FUBON FINANCIAL HOLDING,33.81,56.2111,0.601,0.601,0.05
2891,CTBC FINANCIAL HOLDING,33.59,39.4206,0.852,0.852,0.01
2345,ACCTON TECHNOLOGY CORP,33.2,36.8074,0.902,0.902,-0.0
